19972,Range Resources Corporation (RRC) CEO Jeff Ventura on Q1 2020 Results - Earnings Call Transcript,2020-05-01 15:06:00,RRC,Range Resources Corporation,SA Transcripts,https://seekingalpha.com/article/4342113-range-resources-corporation-rrc-ceo-jeff-ventura-on-q1-2020-results-earnings-call-transcript
19971,"Concho Resources, Inc. (CXO) CEO Timothy Leach on Q1 2020 Results - Earnings Call Transcript",2020-05-01 15:05:00,CXO,Concho Resources Inc.,SA Transcripts,https://seekingalpha.com/article/4342111-concho-resources-inc-cxo-ceo-timothy-leach-on-q1-2020-results-earnings-call-transcript
19970,"MoneyGram International, Inc. (MGI) CEO Alex Holmes on Q1 2020 Results - Earnings Call Transcript",2020-05-01 14:56:00,MGI,"MoneyGram International, Inc.",SA Transcripts,https://seekingalpha.com/article/4342108-moneygram-international-inc-mgi-ceo-alex-holmes-on-q1-2020-results-earnings-call-transcript
19969,Hilltop Holdings' (HTH) CEO Jeremy Ford on Q1 2020 Results - Earnings Call Transcript,2020-05-01 14:50:00,HTH,Hilltop Holdings Inc.,SA Transcripts,https://seekingalpha.com/article/4342102-hilltop-holdings-hth-ceo-jeremy-ford-on-q1-2020-results-earnings-call-transcript
19968,Cousins Properties Incorporated (CUZ) CEO Colin Connolly on Q1 2020 Results - Earnings Call Transcript,2020-05-01 14:44:00,CUZ,Cousins Properties Incorporated,SA Transcripts,https://seekingalpha.com/article/4342099-cousins-properties-incorporated-cuz-ceo-colin-connolly-on-q1-2020-results-earnings-call
19967,Terex Corporation's (TEX) CEO John Garrison on Q1 2020 Results - Earnings Call Transcript,2020-05-01 14:41:00,TEX,Terex Corporation,SA Transcripts,https://seekingalpha.com/article/4342096-terex-corporations-tex-ceo-john-garrison-on-q1-2020-results-earnings-call-transcript
19966,Select Medical Holdings Corporation (SEM) Management on Q1 2020 Results - Earnings Call Transcript,2020-05-01 14:36:00,SEM,Select Medical Holdings Corporation,SA Transcripts,https://seekingalpha.com/article/4342095-select-medical-holdings-corporation-sem-management-on-q1-2020-results-earnings-call
19965,United States Steel Corporation (X) CEO David Burritt on Q1 2020 Results - Earnings Call Transcript,2020-05-01 14:31:00,X,United States Steel Corporation,SA Transcripts,https://seekingalpha.com/article/4342094-united-states-steel-corporation-x-ceo-david-burritt-on-q1-2020-results-earnings-call
19964,Colgate-Palmolive Company (CL) CEO Noel Wallace on Q1 2020 Results - Earnings Call Transcript,2020-05-01 14:28:00,CL,Colgate-Palmolive Company,SA Transcripts,https://seekingalpha.com/article/4342092-colgate-palmolive-company-cl-ceo-noel-wallace-on-q1-2020-results-earnings-call-transcript
19963,Cabot Oil & Gas Corporation (COG) CEO Dan Dinges on Q1 2020 Results - Earnings Call Transcript,2020-05-01 14:25:00,COG,Cabot Oil & Gas Corporation,SA Transcripts,https://seekingalpha.com/article/4342090-cabot-oil-gas-corporation-cog-ceo-dan-dinges-on-q1-2020-results-earnings-call-transcript
19962,Cameco Corp (CCJ) CEO Tim Gitzel on Q1 2020 Results - Earnings Call Transcript,2020-05-01 14:21:00,CCJ,Cameco Corporation,SA Transcripts,https://seekingalpha.com/article/4342085-cameco-corp-ccj-ceo-tim-gitzel-on-q1-2020-results-earnings-call-transcript
19961,W. P. Carey Inc. (WPC) CEO Jason Fox on Q1 2020 Results - Earnings Call Transcript,2020-05-01 14:20:00,WPC,W. P. Carey Inc.,SA Transcripts,https://seekingalpha.com/article/4342083-w-p-carey-inc-wpc-ceo-jason-fox-on-q1-2020-results-earnings-call-transcript
19960,Franklin Street Properties Corp.'s (FSP) CEO George Carter on Q1 2020 Results - Earnings Call Transcript,2020-05-01 14:15:00,FSP,Franklin Street Properties Corp.,SA Transcripts,https://seekingalpha.com/article/4342081-franklin-street-properties-corp-s-fsp-ceo-george-carter-on-q1-2020-results-earnings-call
19959,The Bancorp's (TBBK) CEO Damian Kozlowski on Q1 2020 Results - Earnings Call Transcript,2020-05-01 14:03:00,TBBK,"The Bancorp, Inc.",SA Transcripts,https://seekingalpha.com/article/4342073-bancorps-tbbk-ceo-damian-kozlowski-on-q1-2020-results-earnings-call-transcript
19958,Solaris Oilfield Infrastructure's (SOI) CEO Bill Zartler on Q1 2020 Results - Earnings Call Transcript,2020-05-01 14:00:00,SOI,"Solaris Oilfield Infrastructure, Inc.",SA Transcripts,https://seekingalpha.com/article/4342072-solaris-oilfield-infrastructures-soi-ceo-bill-zartler-on-q1-2020-results-earnings-call
19957,"Cactus, Inc. (WHD) CEO Scott Bender on Q1 2020 Results - Earnings Call Transcript",2020-05-01 14:00:00,WHD,"Cactus, Inc.",SA Transcripts,https://seekingalpha.com/article/4342071-cactus-inc-whd-ceo-scott-bender-on-q1-2020-results-earnings-call-transcript
